Yield_CT,Yield_NT,NT_effect,Latitude,Longitude,Crop,Years_NT,Crop_rotation_CT,Crop_rotation_NT,Soil_cover_CT,Soil_cover_NT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin,ST
4300.0,4700.0,Yes,40.16,16.65,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
4000.0,5900.0,Yes,40.16,16.65,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
3700.0,5300.0,Yes,40.16,16.65,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
3700.0,5100.0,Yes,40.16,16.65,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
5100.0,5200.0,Yes,40.16,16.65,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
5300.0,4800.0,No,40.16,16.65,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
5200.0,5500.0,Yes,40.16,16.65,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
4600.0,5800.0,Yes,40.16,16.65,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
6300.0,6500.0,Yes,40.16,16.65,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
6300.0,6900.0,Yes,40.16,16.65,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
6700.0,6700.0,No,40.16,16.65,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
6400.0,6300.0,No,40.16,16.65,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
5470.0,5340.0,No,45.42,-73.93,maize,2,0,0,0.0,1.0,1.0,1.0,555.9,493.022,62.878,15.7,26.54872,0.79462,Loam
2110.0,1950.0,No,45.42,-73.93,maize,2,0,0,0.0,1.0,1.0,1.0,555.9,493.022,62.878,15.7,26.54872,0.79462,Loam
6740.0,7910.0,Yes,45.42,-73.93,maize,3,0,0,0.0,1.0,1.0,1.0,642.0,484.948,157.052,16.16667,26.13306,2.31443,Loam
3390.0,2840.0,No,45.42,-73.93,maize,3,0,0,0.0,1.0,1.0,1.0,642.0,484.948,157.052,16.16667,26.13306,2.31443,Loam
2420.0,2220.0,No,45.42,-73.93,soybean,2,0,0,0.0,1.0,1.0,1.0,427.2,411.484,15.716,16.62,26.54872,0.79462,Loam
3300.0,3150.0,No,45.42,-73.93,soybean,3,0,0,0.0,1.0,1.0,1.0,510.0,399.759,110.241,16.88,26.13306,2.31443,Loam
2234.0,3350.0,Yes,40.15,-103.15,wheat.winter,2,0,0,,,1.0,1.0,367.3,634.618,-267.318,9.95455,31.06044,-8.83371,Loam
1461.0,1676.0,Yes,40.15,-103.15,wheat.winter,3,0,0,,,1.0,1.0,568.4,621.364,-52.964,10.16364,30.24864,-7.21116,Loam
1983.0,2394.0,Yes,40.15,-103.15,wheat.winter,4,0,0,,,1.0,1.0,486.6,647.94,-161.339,10.22727,29.22616,-11.65825,Loam
1608.0,3090.0,Yes,40.15,-103.15,wheat.winter,5,0,0,,,1.0,1.0,456.0,638.728,-182.728,9.88182,31.15953,-9.91188,Loam
1874.0,3013.0,Yes,40.15,-103.15,wheat.winter,6,0,0,,,1.0,1.0,419.7,646.077,-226.377,10.3,29.86537,-7.93096,Loam
1412.0,1740.0,Yes,40.15,-103.15,wheat.winter,7,0,0,,,1.0,1.0,509.3,653.766,-144.466,11.20909,31.38359,-10.10253,Loam
2062.0,2734.0,Yes,40.15,-103.15,wheat.winter,8,0,0,,,1.0,1.0,333.6,659.437,-325.837,11.96364,32.59679,-7.97563,Loam
1294.0,1887.0,Yes,40.15,-103.15,wheat.winter,9,0,0,,,1.0,1.0,483.4,645.468,-162.068,10.1,32.95001,-10.75148,Loam
3058.0,3435.0,Yes,40.15,-103.15,wheat.winter,10,0,0,,,1.0,1.0,265.3,637.921,-372.621,11.03636,33.58311,-9.86405,Loam
1452.0,1841.0,Yes,40.15,-103.15,wheat.winter,11,0,0,,,1.0,1.0,446.2,644.107,-197.907,10.72727,34.55946,-9.66341,Loam
3571.0,3529.0,No,42.94,-92.57,soybean,2,0,0,0.0,1.0,1.0,1.0,532.6,463.279,69.321,17.43333,27.33077,3.66085,Loam
3688.0,3529.0,No,42.94,-92.57,soybean,2,0,0,0.0,1.0,1.0,1.0,532.6,463.279,69.321,17.43333,27.33077,3.66085,Loam
2873.0,2844.0,No,42.94,-92.57,soybean,3,0,0,0.0,1.0,1.0,1.0,457.5,494.706,-37.206,18.18333,28.0141,4.40098,Loam
2849.0,2844.0,No,42.94,-92.57,soybean,3,0,0,0.0,1.0,1.0,1.0,457.5,494.706,-37.206,18.18333,28.0141,4.40098,Loam
2281.0,2404.0,Yes,42.94,-92.57,soybean,1,0,0,0.0,1.0,1.0,1.0,438.1,502.598,-64.498,18.35,30.40158,3.53012,Loam
2240.0,2404.0,Yes,42.94,-92.57,soybean,1,0,0,0.0,1.0,1.0,1.0,438.1,502.598,-64.498,18.35,30.40158,3.53012,Loam
8659.0,7594.0,No,44.31,-96.79,maize,3,1,1,0.0,1.0,1.0,1.0,503.5,541.433,-37.933,17.8,29.15936,3.41993,Loam
3845.0,4470.0,Yes,44.31,-96.79,maize,3,1,1,0.0,1.0,0.0,0.0,503.5,541.433,-37.933,17.8,29.15936,3.41993,Loam
8442.0,8865.0,Yes,44.31,-96.79,maize,4,1,1,0.0,1.0,1.0,1.0,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847,Loam
4893.0,7445.0,Yes,44.31,-96.79,maize,4,1,1,0.0,1.0,0.0,0.0,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847,Loam
3358.0,3098.0,No,41.8,1.12,barley.winter,1,0,0,,,1.0,1.0,342.2,481.439,-139.239,16.25714,25.40583,2.79712,Loam
4767.0,4568.0,No,41.8,1.12,barley.winter,2,0,0,0.0,1.0,1.0,1.0,201.1,482.803,-281.703,16.21429,28.46006,2.45313,Loam
1557.0,3645.0,Yes,41.8,1.12,barley.winter,3,0,0,0.0,1.0,1.0,1.0,240.7,484.196,-243.496,15.78571,27.16659,0.12838,Loam
1672.0,770.0,No,41.5,0.13,barley.winter,2,0,0,0.0,1.0,1.0,1.0,200.7,415.484,-214.784,17.31429,29.88347,4.20414,Loam
1888.0,1247.0,No,41.5,0.13,barley.winter,3,0,0,0.0,1.0,1.0,1.0,284.2,416.74,-132.54,16.91429,28.36756,2.29477,Loam
3863.0,4127.0,Yes,41.77,1.27,barley.winter,1,0,0,0.0,0.0,1.0,1.0,441.2,498.336,-57.136,12.05714,23.70359,2.70182,Loam
3317.0,2941.0,No,41.77,1.27,barley.winter,2,0,0,0.0,0.0,1.0,1.0,286.2,496.581,-210.381,12.02857,25.38628,2.38834,Loam
4229.0,5420.0,Yes,41.77,1.27,barley.winter,3,0,0,0.0,0.0,1.0,1.0,339.7,493.124,-153.424,11.6,24.61128,0.71023,Loam
1660.0,2063.0,Yes,-23.48,148.15,sorghum,7,1,1,0.0,1.0,1.0,1.0,500.7,772.809,-272.109,26.71429,33.11866,15.08812,Clay loam
2921.0,2949.0,Yes,-23.48,148.15,sorghum,7,1,1,0.0,1.0,1.0,1.0,500.7,772.809,-272.109,26.71429,33.11866,15.08812,Clay loam
1542.0,1604.0,Yes,-23.48,148.15,wheat.winter,2,1,1,0.0,1.0,1.0,1.0,187.0,521.408,-334.408,20.34286,34.03646,6.68356,Clay loam
4200.0,4000.0,No,30.9,75.8,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,217.2000041,549.7760813,-332.576,25.60000038,38.63408833,6.036801246,Loam
4500.0,4200.0,No,30.9,75.8,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,217.2000041,549.7760813,-332.576,25.60000038,38.63408833,6.036801246,Loam
4000.0,3800.0,No,30.9,75.8,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3700.0,3500.0,No,30.9,75.8,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
4700.0,4400.0,No,30.9,75.8,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4900.0,4600.0,No,30.9,75.8,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4500.0,4100.0,No,30.9,75.8,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4700.0,4500.0,No,30.9,75.8,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
2091.0,2151.0,Yes,55.72,-118.68,barley.spring,3,1,1,0.0,1.0,1.0,1.0,307.8,399.473,-91.673,13.6,23.87368,4.13202,Clay loam
2304.0,2840.0,Yes,55.72,-118.68,barley.spring,6,1,1,0.0,1.0,1.0,1.0,356.3,403.232,-46.932,13.76,23.10267,3.78969,Clay loam
2824.0,3247.0,Yes,55.72,-118.68,wheat.spring,6,1,1,0.0,1.0,1.0,1.0,356.3,403.232,-46.932,13.76,23.10267,3.78969,Clay loam
960.0,1090.0,Yes,55.72,-118.68,wheat.spring,1,0,0,,,1.0,1.0,452.9,395.063,57.837,13.36,22.77721,3.27449,Clay loam
1170.0,960.0,No,55.72,-118.68,wheat.spring,2,0,0,0.0,1.0,1.0,1.0,290.1,407.789,-117.689,13.8,23.99237,3.91459,Clay loam
3457.0,3132.0,No,55.2,-119.38,wheat.spring,2,1,1,0.0,1.0,1.0,1.0,362.8,360.521,2.279,11.22,19.63982,2.31763,Clay loam
3089.0,2870.0,No,55.2,-119.38,wheat.spring,3,1,1,0.0,1.0,1.0,1.0,417.8,381.367,36.433,12.14,22.28035,2.28527,Clay loam
4494.0,4417.0,No,55.2,-119.38,wheat.spring,4,1,1,0.0,1.0,1.0,1.0,321.3,380.641,-59.341,11.26,19.59802,3.13068,Clay loam
6940.0,6246.0,No,59.9,17.0,barley.spring,2,1,1,0.0,1.0,1.0,1.0,317.4,312.565,4.835,14.1,20.7831,4.52367,Loam
8500.0,8160.0,No,59.9,17.0,barley.spring,5,1,1,0.0,1.0,1.0,1.0,257.4,305.349,-47.949,13.9,21.01425,5.29742,Loam
6970.0,6691.0,No,59.81,17.66,barley.spring,5,1,1,0.0,1.0,1.0,1.0,242.4,302.808,-60.408,13.92,21.57994,5.50431,Loam
6070.0,2549.0,No,59.9,17.0,wheat.winter,2,1,1,0.0,1.0,1.0,1.0,451.8,265.394,186.406,5.33333,17.9991,-8.99913,Loam
3650.0,1898.0,No,59.81,17.66,wheat.winter,2,1,1,0.0,1.0,1.0,1.0,454.2,263.033,191.167,5.31111,18.32103,-9.08629,Loam
1503.0,1617.0,Yes,30.9,75.8,soybean,2,0,0,0.0,1.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
1440.0,1513.0,Yes,30.9,75.8,soybean,2,0,0,0.0,0.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
2413.0,2523.0,Yes,30.9,75.8,soybean,2,0,0,0.0,1.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
2393.0,2480.0,Yes,30.9,75.8,soybean,2,0,0,0.0,1.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
1943.0,1980.0,Yes,30.9,75.8,soybean,2,0,0,0.0,1.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
1933.0,1943.0,Yes,30.9,75.8,soybean,2,0,0,0.0,0.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
2380.0,2360.0,No,30.9,75.8,soybean,2,0,0,0.0,0.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
2460.0,2417.0,No,30.9,75.8,soybean,2,0,0,0.0,0.0,,,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
2127.0,2239.0,Yes,30.9,75.8,soybean,3,0,0,0.0,1.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
2389.0,2490.0,Yes,30.9,75.8,soybean,3,0,0,0.0,0.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
1860.0,1932.0,Yes,30.9,75.8,soybean,3,0,0,0.0,0.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
2346.0,2383.0,Yes,30.9,75.8,soybean,3,0,0,0.0,0.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
2449.0,2487.0,Yes,30.9,75.8,soybean,3,0,0,0.0,1.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
2423.0,2460.0,Yes,30.9,75.8,soybean,3,0,0,0.0,1.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
2133.0,2161.0,Yes,30.9,75.8,soybean,3,0,0,0.0,0.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
1845.0,1917.0,Yes,30.9,75.8,soybean,3,0,0,0.0,1.0,,,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
1389.0,1187.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,0.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
4145.0,3907.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,0.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
4400.0,4323.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,0.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
4363.0,4215.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,0.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
1144.0,1063.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,0.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
4290.0,3997.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,1.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
4396.0,4349.0,No,30.9,75.8,wheat.winter,4,0,0,0.0,1.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
4361.0,4281.0,Yes,30.9,75.8,wheat.winter,4,0,0,0.0,1.0,,,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
1235.0,1301.0,Yes,30.9,75.8,wheat.winter,1,0,0,0.0,0.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3505.0,4262.0,Yes,30.9,75.8,wheat.winter,1,0,0,0.0,0.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3849.0,4578.0,Yes,30.9,75.8,wheat.winter,1,0,0,0.0,0.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3906.0,4247.0,Yes,30.9,75.8,wheat.winter,1,0,0,0.0,0.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
1351.0,1232.0,No,30.9,75.8,wheat.winter,1,0,0,0.0,1.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3415.0,3542.0,Yes,30.9,75.8,wheat.winter,1,0,0,0.0,1.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3880.0,4153.0,Yes,30.9,75.8,wheat.winter,1,0,0,0.0,1.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
3965.0,3765.0,No,30.9,75.8,wheat.winter,1,0,0,0.0,1.0,,,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
1230.0,1360.0,Yes,30.9,75.8,wheat.winter,2,0,0,0.0,0.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
3770.0,4017.0,Yes,30.9,75.8,wheat.winter,2,0,0,0.0,0.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4030.0,4220.0,Yes,30.9,75.8,wheat.winter,2,0,0,0.0,0.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4050.0,4290.0,Yes,30.9,75.8,wheat.winter,2,0,0,0.0,0.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
1330.0,1170.0,No,30.9,75.8,wheat.winter,2,0,0,0.0,1.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
3890.0,3823.0,No,30.9,75.8,wheat.winter,2,0,0,0.0,1.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4110.0,3930.0,No,30.9,75.8,wheat.winter,2,0,0,0.0,1.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
4247.0,3877.0,No,30.9,75.8,wheat.winter,2,0,0,0.0,1.0,,,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
2880.0,1740.0,No,55.7,-120.35,barley.spring,15,0,0,0.0,1.0,,,319.1,361.006,-41.906,10.72,19.18953,2.33038,Loam
2460.0,2430.0,No,50.78,-106.5,wheat.spring,2,0,0,0.0,1.0,,,320.3,401.257,-80.957,14.54,25.24008,3.02664,Loam
2620.0,2400.0,No,50.78,-106.5,wheat.spring,4,0,0,0.0,1.0,,,211.8,422.586,-210.786,14.74,29.52203,3.62106,Loam
3260.0,3290.0,Yes,50.78,-106.5,wheat.spring,3,0,0,0.0,1.0,,,272.1,438.216,-166.116,16.18,26.91783,5.66977,Loam
1770.0,1980.0,Yes,50.78,-106.5,wheat.spring,4,0,0,0.0,1.0,,,211.8,422.586,-210.786,14.74,29.52203,3.62106,Loam
2240.0,1920.0,No,50.78,-106.5,wheat.spring,3,0,0,0.0,1.0,,,272.1,438.216,-166.116,16.18,26.91783,5.66977,Loam
1710.0,1880.0,Yes,50.78,-106.5,wheat.spring,4,0,0,0.0,1.0,,,211.8,422.586,-210.786,14.74,29.52203,3.62106,Loam
7500.0,6900.0,No,51.17,0.93,maize,9,0,0,0.0,1.0,,,335.9,402.353,-66.453,15.15714,22.07938,8.1423,Loam
8200.0,7400.0,No,51.17,0.93,maize,9,0,0,0.0,1.0,,,335.9,402.353,-66.453,15.15714,22.07938,8.1423,Loam
17100.0,13800.0,No,37.45,49.62,maize,1,0,0,0.0,1.0,,,282.3,541.086,-258.786,23.9,31.85996,9.87071,Clay loam
3150.0,3610.0,Yes,52.85,-104.6,barley.spring,2,1,1,0.0,1.0,1.0,1.0,269.0,390.479,-121.479,14.66,22.76542,3.76857,Clay loam
4280.0,4160.0,No,52.85,-104.6,barley.spring,3,1,1,0.0,0.0,1.0,1.0,213.1,409.975,-196.875,14.64,23.95812,3.55895,Clay loam
4020.0,3360.0,No,52.85,-104.6,barley.spring,4,1,1,0.0,0.0,1.0,1.0,270.6,387.566,-116.966,14.08,24.70429,2.15221,Clay loam
3070.0,2920.0,No,52.85,-104.6,barley.spring,5,1,1,0.0,0.0,1.0,1.0,255.5,393.437,-137.937,15.18,24.67794,2.59849,Clay loam
3460.0,3960.0,Yes,52.85,-104.6,wheat.spring,2,1,1,0.0,1.0,1.0,1.0,268.9999981,390.4791039,-121.479,14.66000004,22.76541827,3.768566009,Clay loam
4660.0,4500.0,No,52.85,-104.6,wheat.spring,3,1,1,0.0,0.0,1.0,1.0,213.0999993,409.9745296,-196.875,14.63999996,23.95811971,3.558947655,Clay loam
4860.0,5200.0,Yes,52.85,-104.6,wheat.spring,4,1,1,0.0,0.0,1.0,1.0,270.6000023,387.5657813,-116.966,14.07999983,24.70429254,2.152213312,Clay loam
4990.0,5100.0,Yes,52.85,-104.6,wheat.spring,5,1,1,0.0,0.0,1.0,1.0,255.5000076,393.4365098,-137.937,15.18000011,24.6779352,2.598487608,Clay loam
3550.0,3130.0,No,29.02,79.49,wheat.winter,1,0,0,,,1.0,1.0,183.2,356.671,-173.471,23.24,27.59334,9.27594,Loam
4990.0,3650.0,No,29.02,79.49,wheat.winter,2,0,0,,,1.0,1.0,25.6,348.575,-322.975,24.58,31.62304,9.87624,Loam
1110.0,917.0,No,32.42,-85.88,cotton,2,0,0,0.0,1.0,1.0,1.0,716.6,619.027,97.573,22.9,33.52886,10.81742,Clay loam
1536.0,1547.0,Yes,32.42,-85.88,cotton,3,0,0,0.0,1.0,1.0,1.0,630.0,636.273,-6.272,23.05714,32.78787,7.81104,Clay loam
774.0,855.0,Yes,32.42,-85.88,cotton,4,0,0,0.0,1.0,1.0,1.0,622.9,654.105,-31.205,22.95714,35.26952,5.14283,Clay loam
21900.0,10400.0,No,34.28,-85.97,maize,2,1,1,0.0,0.0,1.0,1.0,799.6,609.677,189.923,22.01667,31.09053,10.40166,Loam
19700.0,14300.0,No,34.28,-85.97,maize,3,1,1,0.0,0.0,1.0,1.0,834.0,629.7,204.3,22.76667,32.11294,11.09104,Loam
10900.0,8300.0,No,34.28,-85.97,maize,4,1,1,0.0,0.0,1.0,1.0,837.3,580.529,256.771,21.95,31.50594,8.81776,Loam
6300.0,5970.0,No,55.94,-3.21,barley.winter,2,0,0,0.0,0.0,1.0,1.0,739.3000145,259.2143014,480.086,6.333333241,15.0189209,-4.704315186,Sandy loam
2780.0,1690.0,No,-17.85,-63.0,maize,7,1,1,,,1.0,1.0,598.3,837.715,-239.415,29.97143,31.69535,19.33568,Clay loam
2270.0,2240.0,No,-17.85,-63.0,sorghum,5,1,1,,,1.0,1.0,981.5,684.744,296.756,27.22857,30.36019,18.27191,Clay loam
2150.0,2090.0,No,-17.85,-63.0,soybean,3,1,1,,,1.0,1.0,1043.0,792.601,250.399,28.38571,32.43272,17.13706,Clay loam
2710.0,2340.0,No,-17.85,-63.0,soybean,4,1,1,,,1.0,1.0,1063.3,771.358,291.942,29.24286,31.17334,19.53539,Clay loam
2510.0,2460.0,No,-17.85,-63.0,soybean,5,1,1,,,1.0,1.0,1035.8,733.253,302.547,28.41429,30.36019,18.70055,Clay loam
1380.0,1100.0,No,-17.85,-63.0,sunflower,6,1,1,,,1.0,1.0,719.5,695.084,24.416,29.61667,31.29821,16.73386,Clay loam
